AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2021;1202;Insubria;LM-35;Ingegneria Ambientale e per la Sostenibilita' degli Ambienti di Lavoro;VARESE;12;F;7
2021;1202;Insubria;LM-08;Biotecnologie Molecolari e Industriali;VARESE;12;M;7
2021;1202;Insubria;L-35;Matematica;COMO;13;F;7
2021;1202;Insubria;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);COMO;13;M;7
2021;1202;Insubria;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);VARESE;12;M;7
2021;1202;Insubria;LM-46;Odontoiatria e Protesi Dentaria;VARESE;12;F;7
2021;1301;Novedrate e-Campus - telematica;L-10;Letteratura, Musica e Spettacolo;NOVEDRATE;13;F;7
2021;1001;Genova;L-13;Scienze Biologiche;GENOVA;10;M;7
2021;1001;Genova;L-12;Teorie e Tecniche della Mediazione Interlinguistica;GENOVA;10;M;7
2021;1001;Genova;LM-04;Ingegneria Edile-Architettura;GENOVA;10;M;7
2021;1001;Genova;LM/DS;Engineering Technology For Strategy (And Security);GENOVA;10;M;7
2021;1001;Genova;LM-15;Scienze dell'Antichità: Archeologia, Filologia e Letterature, Storia;GENOVA;10;F;7
2021;1001;Genova;LM-30;Energy Engineering;SAVONA;9;M;7
2021;1001;Genova;LM-23;Ingegneria Civile e Ambientale;GENOVA;10;M;7
2021;1001;Genova;LM-38;Lingue e Letterature Moderne per i Servizi Culturali;GENOVA;10;M;7
2021;1001;Genova;LM-32;Robotics Engineering;GENOVA;10;M;7
2021;1001;Genova;LM-85;Pedagogia, Progettazione e Ricerca Educativa;GENOVA;10;M;7
2021;1509;Milano Bicocca;18-bis;Scienze della Formazione Primaria;MILANO;15;F;7
2021;1509;Milano Bicocca;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);BERGAMO;16;M;7
2021;1509;Milano Bicocca;LM-51;Applied Experimental Psychological Sciences;MILANO;15;M;7
2021;1601;Bergamo;LM-19;Comunicazione, Informazione, Editoria;BERGAMO;16;M;7
2021;1504;Milano Cattolica;LM-19;Comunicazione per l'Impresa, i Media e le Organizzazioni Complesse;MILANO;15;M;7
2021;1504;Milano Cattolica;LM-38;Scienze Linguistiche;BRESCIA;17;M;7
2021;1504;Milano Cattolica;L/SNT3;Tecniche Ortopediche (Abilitante alla Professione Sanitaria di Tecnico Ortopedico);ROMA;58;M;7
2021;1504;Milano Cattolica;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);BOLZANO - BOZEN;21;F;7
2021;1504;Milano Cattolica;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);ROMA;58;F;7
2021;1504;Milano Cattolica;LM-17;Fisica;BRESCIA;17;M;7
2021;1504;Milano Cattolica;LM-77;Banking e Consulting;PIACENZA;33;F;7
2021;1701;Brescia;LM-46;Odontoiatria e Protesi Dentaria;BRESCIA;17;M;7
2021;1701;Brescia;LM-35;Ingegneria per l'Ambiente e il Territorio;BRESCIA;17;F;7
2021;1701;Brescia;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);BRESCIA;17;M;7
2021;1701;Brescia;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);BRESCIA;17;M;7
2021;1701;Brescia;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);CREMONA;19;M;7
2021;1801;Pavia;L/SNT3;Tecniche Ortopediche (Abilitante alla Professione Sanitaria di Tecnico Ortopedico);PAVIA;18;M;7
2021;1801;Pavia;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);PAVIA;18;M;7
2021;1801;Pavia;L-08;Ingegneria Elettronica e Informatica;PAVIA;18;F;7
2021;1801;Pavia;LM-23;Civil Engineering For Mitigation Of Risk From Natural Hazards;PAVIA;18;M;7
2021;1801;Pavia;LM-23;Ingegneria Civile;PAVIA;18;F;7
2021;2201;Trento;LM-14;Filologia e Critica Letteraria;TRENTO;22;M;7
