ANNO_LAUREA;COD_Ateneo;NomeOperativo;NUMERO;NOME_CORSO;COMUNE;ID_PROVINCIA_ISTAT;ID_SESSO;laureati
2019;7801;Calabria;LM-17;Fisica;RENDE;78;F;9
2019;7501;Salento;LM-09;Biotecnologie Mediche e Nanobiotecnologie;LECCE;75;M;9
2019;7501;Salento;LM-02;Archeologia;LECCE;75;M;9
2019;7501;Salento;LM-40;Matematica;LECCE;75;F;9
2019;7501;Salento;LM-49;Gestione delle Attivita' Turistiche e Culturali;LECCE;75;F;9
2019;7501;Salento;LM-51;Metodologia dell'Intervento Psicologico;LECCE;75;M;9
2019;7501;Salento;LM-17;Fisica;LECCE;75;M;9
2019;7501;Salento;LM-06;Coastal And Marine Biology And Ecology (Biologia ed Ecologia Costiera e Marina);LECCE;75;M;9
2019;7601;Basilicata;04/S-cu;Ingegneria Edile-Architettura (Conforme alla Direttiva Cee 85/384);POTENZA;76;M;9
2019;7601;Basilicata;LM-04cu;Architettura;MATERA;77;M;9
2019;7601;Basilicata;L-21;Paesaggio, Ambiente e Verde Urbano;MATERA;77;M;9
2019;7801;Calabria;24;Scienza della Nutrizione;RENDE;78;F;9
2019;7201;Bari;LM-94;Traduzione Specialistica;BARI;72;M;9
2019;7201;Bari;LM-84;Scienze Storiche e della Documentazione Storica;BARI;72;F;9
2019;7201;Bari;L-42;Storia e Scienze Sociali;BARI;72;F;9
2019;7201;Bari;LM-09;Biotecnologie Mediche e Medicina Molecolare;BARI;72;M;9
2019;7201;Bari;LM-06;Scienze Biosanitarie;BARI;72;M;9
2019;7201;Bari;LM-15;Filologia, Letterature e Storia dell'Antichita;BARI;72;F;9
2019;7201;Bari;LM-54;Scienze Chimiche;BARI;72;M;9
2020;1509;Milano Bicocca;LM-40;Matematica;MILANO;15;F;9
2020;1509;Milano Bicocca;L-30;Ottica e Optometria;MILANO;15;M;9
2020;1504;Milano Cattolica;LM-93;Media Education;MILANO;15;F;9
2020;1509;Milano Bicocca;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);DESIO;108;M;9
2020;1508;Milano San Raffaele;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);MILANO;15;M;9
2020;1509;Milano Bicocca;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);BERGAMO;16;M;9
2020;1504;Milano Cattolica;L-02;Biotecnologie Sanitarie;ROMA;58;F;9
2020;1504;Milano Cattolica;L-03;Scienze e Tecnologie delle Arti e dello Spettacolo;BRESCIA;17;M;9
2020;1504;Milano Cattolica;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);ROMA;58;F;9
2020;1504;Milano Cattolica;L-19;Scienze dell'Educazione e della Formazione;BRESCIA;17;M;9
2020;1504;Milano Cattolica;L-35;Matematica;BRESCIA;17;M;9
2020;1504;Milano Cattolica;L-24;Scienze e Tecniche Psicologiche;BRESCIA;17;M;9
2020;1504;Milano Cattolica;LM-51;Psicologia degli Interventi Clinici nei Contesti Sociali;BRESCIA;17;M;9
2020;1504;Milano Cattolica;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);POTENZA;76;F;9
2020;1504;Milano Cattolica;L/SNT1;Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o);POTENZA;76;F;9
2020;1501;Milano;LM-86;Scienze e Tecnologie delle Produzioni Animali;LODI;98;M;9
2020;1502;Milano Politecnico;L-17;Progettazione dell’Architettura;PIACENZA;33;M;9
2020;1502;Milano Politecnico;LM-12;Design del Prodotto per l'Innovazione;MILANO;15;M;9
2020;1501;Milano;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);CERNUSCO SUL NAVIGLIO;15;F;9
2020;1202;Insubria;LM-92;Scienze e Tecniche della Comunicazione;VARESE;12;M;9
2020;1301;Novedrate e-Campus - telematica;L-10;Letteratura, Musica e Spettacolo;NOVEDRATE;13;M;9
2020;1501;Milano;L-25;Produzione e Protezione delle Piante e dei Sistemi del Verde;MILANO;15;F;9
2020;1501;Milano;LM-06;Biologia Applicata alla Ricerca Biomedica;MILANO;15;M;9
2020;1501;Milano;LM/SNT3;Scienze delle Professioni Sanitarie Tecniche Diagnostiche;MILANO;15;F;9
2020;1501;Milano;LM-11;Scienze per la Conservazione e la Diagnostica dei Beni Culturali;MILANO;15;F;9
2020;1501;Milano;LM-69;Scienze Agrarie;MILANO;15;F;9
2020;101;Torino;LM-06;Cellular And Molecular Biology-Biologia Cellulare e Molecolare;TORINO;1;M;9
2020;101;Torino;LM/DS;Scienze Strategiche e Militari;TORINO;1;F;9
2020;101;Torino;LM/SNT4;Scienze delle Professioni Sanitarie della Prevenzione;TORINO;1;M;9
2020;101;Torino;L-34;Scienze Geologiche;TORINO;1;F;9
2019;9201;Cagliari;LM-22;Ingegneria Chimica e dei Processi Biotecnologici;CAGLIARI;92;M;9
2019;9201;Cagliari;LM-37;Lingue e Letterature Moderne Europee e Americane;CAGLIARI;92;M;9
2019;9201;Cagliari;LM-06;Bio-Ecologia Marina;CAGLIARI;92;F;9
2019;9201;Cagliari;LM-14;Filologie e Letterature Classiche e Moderne;CAGLIARI;92;F;9
2019;9201;Cagliari;L-32;Scienze Naturali;CAGLIARI;92;M;9
2019;9201;Cagliari;L-34;Scienze Geologiche;CAGLIARI;92;F;9
2020;101;Torino;46/S;Medicina e Chirurgia (Orbassano);ORBASSANO;1;F;9
2019;9201;Cagliari;LM-60;Scienze e Tecnologie per l'Ambiente;CAGLIARI;92;F;9
2019;9201;Cagliari;L/SNT4;Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario);CAGLIARI;92;M;9
2019;9001;Sassari;LM-56;Economia;SASSARI;90;F;9
2019;9001;Sassari;LM-46;Odontoiatria e Protesi Dentaria;SASSARI;90;F;9
2019;9001;Sassari;L-14;Scienze dei Servizi Giuridici;SASSARI;90;F;9
2019;9001;Sassari;LM-04;Architettura;ALGHERO;90;F;9
2019;8701;Catania;LM-46;Odontoiatria e Protesi Dentaria;CATANIA;87;F;9
2019;8701;Catania;LM-27;Ingegneria delle Telecomunicazioni;CATANIA;87;M;9
2019;8701;Catania;LM-28;Ingegneria Elettrica;CATANIA;87;M;9
2019;8701;Catania;LM-17;Fisica;CATANIA;87;M;9
2020;1001;Genova;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);GENOVA;10;F;9
2020;1001;Genova;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);GENOVA;10;F;9
2020;1001;Genova;L/SNT2;Podologia (Abilitante alla Professione Sanitaria di Podologo);GENOVA;10;F;9
2020;1001;Genova;L-09;Ingegneria Chimica e di Processo;GENOVA;10;M;9
