"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",3639,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",9211,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",888,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",5440,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",3898,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",33739,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",888,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",10006,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",10006,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",15345,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",3898,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",10024,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",49346,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",26112,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",9436,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",10706,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",10024,,
